order,start_date,end_date,goal,total_production,good_production
245993,2023-05-29 20:07:51,2023-05-30 07:32:07,259995.0,261706.0,261060.0
245994,2023-05-30 07:32:07,2023-05-30 11:29:18,80010.0,83777.0,83610.0
246048,2023-05-30 11:29:18,2023-05-30 18:39:31,90000.0,86297.0,85890.0
246049,2023-05-30 18:39:31,2023-05-31 01:38:08,150000.0,145267.0,144720.0
245998,2023-05-31 01:38:08,2023-06-01 02:01:00,474990.0,480942.0,479880.0
245999,2023-06-01 02:01:00,2023-06-01 11:44:50,249990.0,249947.0,249495.0
246050,2023-06-01 11:44:50,2023-06-01 21:03:23,200010.0,205426.0,205050.0
245996,2023-06-01 21:03:23,2023-06-02 19:57:36,583005.0,568893.0,567765.0
245995,2023-06-02 19:57:36,2023-06-03 10:52:15,315000.0,307197.0,306690.0
246051,2023-06-03 10:52:15,2023-06-03 20:33:48,330000.0,244260.0,243825.0
246185,2023-06-04 23:00:00,2023-06-05 18:04:07,385005.0,384559.0,382875.0
246184,2023-06-05 18:04:07,2023-06-06 12:13:05,352005.0,348055.0,347265.0
246187,2023-06-06 12:13:05,2023-06-06 21:20:21,50010.0,49592.0,49260.0
246186,2023-06-06 21:20:21,2023-06-07 18:22:16,500010.0,509896.0,508425.0
246188,2023-06-07 18:22:16,2023-06-08 08:18:21,300000.0,301185.0,300315.0
246189,2023-06-08 08:18:21,2023-06-08 22:43:49,360000.0,376081.0,375135.0
246182,2023-06-08 22:43:49,2023-06-09 05:47:59,49995.0,51019.0,50820.0
246183,2023-06-09 05:47:59,2023-06-09 20:08:55,619995.0,261195.0,260625.0
246254,2023-06-11 23:01:00,2023-06-12 06:15:52,50010.0,51240.0,49785.0
246258,2023-06-12 06:15:52,2023-06-12 17:03:31,260010.0,255908.0,255990.0
246259,2023-06-12 17:03:31,2023-06-13 05:23:40,315000.0,305059.0,304155.0
246255,2023-06-13 05:23:40,2023-06-13 13:24:57,165000.0,157550.0,157095.0
246256,2023-06-13 13:24:57,2023-06-15 04:38:48,935010.0,926059.0,923805.0
246257,2023-06-15 04:38:48,2023-06-15 12:37:34,100005.0,99267.0,98970.0
246260,2023-06-15 12:37:34,2023-06-16 21:26:33,840000.0,648313.0,646260.0
246344,2023-06-18 23:01:00,2023-06-19 06:50:00,90000.0,86294.0,85965.0
246342,2023-06-19 06:50:14,2023-06-20 03:53:07,530010.0,516725.0,515505.0
246343,2023-06-20 03:53:07,2023-06-20 06:38:06,50010.0,47707.0,47520.0
246335,2023-06-20 06:38:06,2023-06-20 23:32:46,350010.0,347018.0,346140.0
246336,2023-06-20 23:32:46,2023-06-21 15:14:42,450000.0,412104.0,411030.0
246340,2023-06-21 15:14:42,2023-06-21 17:43:24,52005.0,46568.0,45780.0
246337,2023-06-21 17:43:24,2023-06-22 16:40:25,450000.0,444505.0,444330.0
246338,2023-06-22 16:40:25,2023-06-23 03:20:00,249990.0,287870.0,286380.0
246374,2023-06-23 03:20:00,2023-06-23 11:52:55,250005.0,230110.0,229950.0
246339,2023-06-23 11:52:55,2023-06-24 01:39:40,300000.0,294870.0,294255.0
246341,2023-06-24 01:39:40,2023-06-24 19:19:58,400005.0,447485.0,446055.0
246390,2023-06-25 23:01:00,2023-06-26 07:45:14,176010.0,172399.0,171750.0
246386,2023-06-26 07:45:14,2023-06-26 13:45:44,125010.0,121609.0,121305.0
246388,2023-06-26 13:45:44,2023-06-27 01:57:11,234990.0,239373.0,238545.0
246389,2023-06-27 01:57:11,2023-06-27 13:07:57,315000.0,306041.0,305040.0
246392,2023-06-27 13:07:57,2023-06-27 15:32:17,50010.0,51133.0,51000.0
246387,2023-06-27 15:32:17,2023-06-29 04:20:32,880000.005,878516.0,875250.0
246391,2023-06-29 04:20:32,2023-06-30 17:32:11,844995.0,998868.0,997935.0
246545,2023-07-02 23:00:00,2023-07-03 17:41:40,330000.0,332477.0,331515.0
